Session,,,Title
AM,Dongsheng,He,"Measuring volumetric urban design: Compression, multi-level connectedness, and functional mix in transit-oriented developments in Hong Kong"
PM,Fahad,Khan,"Exploring land use/ land cover changes and their effect on land surface temperature and urban heat island: A case study of Lahore, Pakistan"
AM,Jennie,"Gray, PhD",Perceived Safety and Greenspace Access: Predicting Avoidance Behaviour in Leeds and Bradford Parks
PM,Falha,Alkhuzayyim,F-GeoRAG: Few-Shot Retrieval-Augmented Generation with Large Language Models for Enhancing Geospatial Question Answering
AM,Benjamin,Woodier,A Comparative Deep Learning Approach to Battle Damage Detection with Foundation Model Architectures and Open Access Sentinel-1 SAR Data
PM,Oluwatayo,Ogunjobi,Exploring GeoAI Application in Mapping Retail Location Intelligence
AM,James,Ackland,Representing Missing Spatial Data
PM,Alper,Dincer,"Democratizing Climate Analytics: A Local-First Approach using DuckDB, H3, and WASM"
AM,Dean,Summers,Making Earth Observation Research Reusable for Earth Action with EarthCODE
PM,Harry,Kirby,Mapping Inherited Infrastructure Risk across a Continuous Risk Spectrum: A Bottom-Up GIS Framework for Modelling Climate-Induced Power Cascades on Road Operability
AM,Meilin,Shi,Mapping Green Deficits: Assessing 3-30-300 Compliance in British Neighbourhoods
PM,Dongyi,Ma,Is the Queen Elizabeth Olympic Park a Cool Zone in London?
AM,Eliška ,Pospěchová,The Impact of Erroneous Polygonal Coverage Topology on Spatial Statistical Methods
PM,Anastassia,Vybornova,How data and models are mobilized to reify white supremacy: The case of the Danish 'Parallel Societies Index'
AM,Danning,Song,Exploring ageing population mobility and public transport accessibility in the West Midlands
PM,Yijing,Zhang,Exploring the Structural Changing Distribution of Physical Retail in England and Wales
AM,Yanzhi,Lu,Neighbourhood-scale Urban Heat Island Modelling Using ADMS-Urban Climate Model
PM,Yuqi,Zhao,Transport Equity Implications of Metro Expansion: Uneven Accessibility Gains in Wuhan
AM,Qi,Gong,Some Like It Central: The Uneven Geography of Cinemas
PM,Lawrie,Swinfen-Styles,A methodological framework for archetyping properties and areas for targeted place-based retrofit
AM,Cesar,Marin Flores,From 15-Minute Cities to 1-Kilogram CO₂ Cities: Trade-offs Between Accessibility and Emissions in Urban Mobility
PM,Jade,Fawcett,Women Runners’ Perceptions of Runnability in Greater London Using Go-Along Interviews and Visual Methods
AM,Alexandra,Middleton,Revealing Intra-Settlement Health Inequalities Using Kernel Density Estimation: Foundations for Co-Designed Urban Health Modelling in Informal Settlements
PM,Craig,Robson,Assessing the impact of the Elizabeth Line on accessibility across Greater London
AM,Yan,Wang,Is Robotaxi Travel Different from Traditional Taxi Travel? Divergent Spatial Patterns in San Francisco
PM,Michal,Iliev,The (In)sufficient Accessibility Measure: Bringing Underserved Populations to the Forefront
AM,Anna,Brázdová,The Financial Burden of Pre-School Education in Czechia: Who Pays the Highest Price?
PM,Rahul,Gandhi,Critical reflections on remote sensing methodologies for ethically and decolonially understanding the impact of war on the environment
AM,Evgeny,Noi,From Binary Transitions to Continuous Intensification: Deep Change Modeling of Accra’s Urban Growth
PM,Mohammed,Almousa,Measuring safe walking access to public transport in Riyadh using the SOLWEIG tool and the PHS model under extreme hot conditions
