session_group,session_code,session_title,firstname,lastname,title,DOI
1,1A,Deprivation & Cost-of-Living Geographies (Chaired by Jess Hepburn),Luc,Wilson,"Scale, Salience, and Hardship: A Comparison of the IMD and Open Banking Data",https://doi.org/10.5281/zenodo.19367359
1,1A,Deprivation & Cost-of-Living Geographies (Chaired by Jess Hepburn),Alex,Singleton,Measuring Cash and Banking Access Vulnerability: A Composite Small-Area Index Integrating Infrastructure and Population Characteristics,https://doi.org/10.5281/zenodo.19367437
1,1A,Deprivation & Cost-of-Living Geographies (Chaired by Jess Hepburn),Huanfa,Chen,How far are we from keeping everyone warm in cost-of-living crisis? Measuring geographic accessibility to UK warm spaces,https://doi.org/10.5281/zenodo.19367485
1,1A,Deprivation & Cost-of-Living Geographies (Chaired by Jess Hepburn),Amir,Baniasadi,Unequal Heat Exposure across Wales: A Spatio-Temporal Analysis of Socioeconomic Deprivation,https://doi.org/10.5281/zenodo.19367556
1,1A,Deprivation & Cost-of-Living Geographies (Chaired by Jess Hepburn),Johara,Meyer,Towards a Dynamic View of UK Deprivation: Harmonising the IMD Using Claimant Count Data,https://doi.org/10.5281/zenodo.19367628
1,1B,Climatic Change (Chaired by Craig Robson),Pengyuan,Liu,Dealing with Spatial Heterogeneity: A Graph Neural Network-based Domain Adaptation Framework in Urban Heat Prediction,https://doi.org/10.5281/zenodo.19389547
1,1B,Climatic Change (Chaired by Craig Robson),Dongyi,Ma,Measuring Urban Heat Island Intensity in London During the Warmest June on Record,https://doi.org/10.5281/zenodo.19389594
1,1B,Climatic Change (Chaired by Craig Robson),Chris,Brunsdon,The Science of the Seasons - Spatial Analysis of Phenological Data,https://doi.org/10.5281/zenodo.19389640
1,1B,Climatic Change (Chaired by Craig Robson),Yanzhi,Lu,Neighbourhood-scale Urban Heat Island Modelling Using ADMS-Urban Climate Model,https://doi.org/10.5281/zenodo.19389672
1,1B,Climatic Change (Chaired by Craig Robson),Giandomenico,Vurro,How Temperature Datasets Shape Spatial Heat Vulnerability: Observations versus Urban Climate Modelling,https://doi.org/10.5281/zenodo.19389711
