,Event,Time,Location,Date
0,Main Conference Registration + Lunch ,12:00 – 13:00 ,Foyer,Wednesday
1,GISRUK Open and Keynote(s),13:00 - 15:00,TBA ,Wednesday
2,Break ,15:00 – 15:20 ,Foyer ,Wednesday
3,Sessions (1),15:20 – 17:00 ,TBA,Wednesday
4,Evening Social ,17:00 ,TBA ,Wednesday
5,Welcome & Networking (Tea/Coffee),9:00 - 9:30 ,Foyer ,Thursday
6,Sessions (2),9:30 - 11:10 ,TBA,Thursday
7,Posters (Tea/Coffee),11:10 – 11:40 ,Foyer ,Thursday
8,Keynote: Map Action,11:40 – 12:40 ,TBA ,Thursday
9,Lunch,12:40 – 13:40 ,Foyer ,Thursday
10,Sessions (3),13:40 – 15:00 ,TBA,Thursday
11,Posters (Tea/Coffee) ,15:00 – 15:40 ,Foyer ,Thursday
12,Sessions (4),15:40 – 16:40 ,TBA,Thursday
13,Conference Dinner  ,18:00 - 21:30,TBA,Thursday
14, Welcome & Networking (Tea/Coffee),9:00 - 9:30 ,Foyer,Friday
15,Session (5),9:30 – 10:50 ,TBA ,Friday
16,Break (Tea/Coffee),10:50 – 11:10 ,Foyer ,Friday
17,Session (6),11:10 – 12:10 ,TBA ,Friday
18, GISRUK Close,12:10 – 13:00 ,TBA ,Friday
