session_group,session,date,start_time, room ,chair
1,1A: Deprivation & Cost-of-Living Geographies,Wednesday 15th April,15:20 - 17:00, G31,Jessica Hepburn
1,1B: Climatic Change,Wednesday 15th April,15:20 - 17:00, G26,Craig Robson
2,2A: Urban Green Space,Thursday 16th April,9:30 - 11:10, G31,Naya Desai and Shukurat Bankole
2,2B: Cycling & Mobility,Thursday 16th April,9:30 - 11:10, G26,Simon Blainey
2,2C: Methodological Innovations in GIS,Thursday 16th April,9:30 - 11:10, G34,Nick Bearman
3,3A: Environmental Risk Management,Thursday 16th April,13:40 - 15:00, G31,Daniel Donaldson
3,3B: Street-Level Imagery & Visual Impact,Thursday 16th April,13:40 - 15:00, G26,Fulvio Lopane
3,3C: Cultural Heritage & Land Use Change,Thursday 16th April,13:40 - 15:00, G34,Guy Solomon
4,4A: GIS for Public Services,Thursday 16th April,15:40 - 16:40, G31,Vikki Houlden
4,4B: Housing & Urban Planning,Thursday 16th April,15:40 - 16:40, G26,Sarah Greenham
4,4C: Urban Economics,Thursday 16th April,15:40 - 16:40, G34,Ross Bangs and Emma Ferranti
5,5A: Urban Transport Design,Friday 17th April,9:30 - 10:50, G31,Chen Zhong
5,5B: Geospatial Healthcare Analysis,Friday 17th April,9:30 - 10:50, G26,Duncan Whyatt
6,6A: People & Population,Friday 17th April,11:10 - 12:10, G31,Samantha Cockings
6,6B: AI & Data Processing,Friday 17th April,11:10 - 12:10, G26,Stef De Sabbata
